Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Unsafe Food/Infection,CARINDALE
Public Health/Safety,Food Premises,JINDALEE
Public Health/Safety,Unsafe Food/Infection,GEEBUNG
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,RICHLANDS
Public Health/Safety,Food Premises,MOUNT OMMANEY
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Food Premises,TARRAGINDI
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Unsafe Food/Infection,YEERONGPILLY
Public Health/Safety,Unsafe Food/Infection,BULIMBA
Public Health/Safety,Unsafe Food/Infection,MIDDLE PARK
Public Health/Safety,Food Premises,MORNINGSIDE
Public Health/Safety,Food Premises,ST LUCIA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KENMORE
Public Health/Safety,Unsafe Food/Infection,WOOLLOONGABBA
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,DARRA
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,MANSFIELD
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Food Premises,GRANGE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,MOUNT GRAVATT EAST
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Food Premises,ROBERTSON
Public Health/Safety,Food Premises,ASCOT
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WOOLLOONGABBA
Public Health/Safety,Food Premises,CARINA
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,GREENSLOPES
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,THE GAP
Public Health/Safety,Food Premises,SEVEN HILLS
Public Health/Safety,Unsafe Food/Infection,EVERTON PARK
Public Health/Safety,Unsafe Food/Infection,ALBION
Public Health/Safety,Food Premises,BRISBANE AIRPORT
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,ANNERLEY
Public Health/Safety,Food Premises,CARINA
Public Health/Safety,Unsafe Food/Infection,SINNAMON PARK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Unsafe Food/Infection,ALBION
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Unsafe Food/Infection,CANNON HILL
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Food Premises,MILTON
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Food Premises,MOUNT GRAVATT
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Unsafe Food/Infection,MORNINGSIDE
Public Health/Safety,Unsafe Food/Infection,RICHLANDS
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,BARDON
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Food Premises,CARINDALE
Public Health/Safety,Unsafe Food/Infection,SALISBURY
Public Health/Safety,Food Premises,GRACEVILLE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,HERSTON
Public Health/Safety,Unsafe Food/Infection,ZILLMERE
Public Health/Safety,Food Premises,FOREST LAKE
Public Health/Safety,Unsafe Food/Infection,SANDGATE
Public Health/Safety,Unsafe Food/Infection,MOUNT COOT-THA
Public Health/Safety,Food Premises,NEW FARM
Public Health/Safety,Unsafe Food/Infection,ROBERTSON
Public Health/Safety,Unsafe Food/Infection,ZILLMERE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,HAMILTON
Public Health/Safety,Unsafe Food/Infection,OXLEY
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,MANLY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,ENOGGERA
Public Health/Safety,Food Premises,YERONGA
Public Health/Safety,Food Premises,MANLY
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Food Premises,WOOLOOWIN
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,MITCHELTON
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,CHANDLER
Public Health/Safety,Food Premises,CARSELDINE
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,SHERWOOD
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,TENERIFFE
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Food Premises,SANDGATE
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,TENERIFFE
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,MOOROOKA
Public Health/Safety,Unsafe Food/Infection,RED HILL
Public Health/Safety,Food Premises,SOUTH BRISBANE
